CustomerID,recency,frequency,monetary,avg_basket,unique_products,clv,lifespan_days,kmeans_cluster,dbscan_cluster,hierarchical_cluster,cluster_name
12346.0,325,1,77183.6,77183.6,1,77183.6,1,0,-1,0,Occasional Buyers
12347.0,1,7,4310.0,23.681318681318682,103,4310.0,366,2,0,0,Premium Bulk Buyers
12348.0,74,4,1797.24,57.97548387096774,22,1797.24,283,1,0,2,Regular Loyalists
12349.0,18,1,1757.55,24.076027397260273,73,1757.55,1,1,0,1,Regular Loyalists
12350.0,309,1,334.4,19.670588235294115,17,334.4,1,3,0,1,One-Time Shoppers
12352.0,35,8,2506.04,29.482823529411764,59,2506.04,261,2,0,2,Premium Bulk Buyers
12353.0,203,1,89.0,22.25,4,89.0,1,3,0,1,One-Time Shoppers
12354.0,231,1,1079.4,18.610344827586207,58,1079.4,1,3,0,1,One-Time Shoppers
12355.0,213,1,459.4,35.33846153846154,13,459.4,1,3,0,1,One-Time Shoppers
12356.0,22,3,2811.43,47.65135593220339,53,2811.43,303,2,0,2,Premium Bulk Buyers
12357.0,32,1,6207.67,47.38679389312977,131,6207.67,1,1,-1,0,Regular Loyalists
12358.0,1,2,1168.06,61.47684210526315,13,1168.06,150,1,0,0,Regular Loyalists
12359.0,57,4,6372.58,25.695887096774193,214,6372.58,275,2,0,2,Premium Bulk Buyers
12360.0,51,3,2662.06,20.63612403100775,105,2662.06,149,1,0,2,Regular Loyalists
12361.0,286,1,189.9,18.990000000000002,10,189.9,1,3,0,1,One-Time Shoppers
12362.0,2,10,5226.23,19.647481203007516,201,5226.23,293,2,0,0,Premium Bulk Buyers
12363.0,109,2,552.0,24.0,23,552.0,133,1,0,2,Regular Loyalists
12364.0,7,4,1313.1,15.448235294117646,70,1313.1,105,1,0,0,Regular Loyalists
12365.0,290,2,641.38,29.153636363636362,22,641.38,1,3,0,1,One-Time Shoppers
12367.0,3,1,168.9,15.354545454545455,11,168.9,1,3,0,1,One-Time Shoppers
12370.0,50,4,3545.69,21.231676646706585,143,3545.69,310,2,0,2,Premium Bulk Buyers
12371.0,44,2,1887.96,29.96761904761905,63,1887.96,15,1,0,2,Regular Loyalists
12372.0,71,3,1298.04,24.962307692307693,34,1298.04,225,1,0,2,Regular Loyalists
12373.0,310,1,364.6,26.042857142857144,14,364.6,1,3,0,1,One-Time Shoppers
12374.0,24,1,742.9300000000001,22.513030303030305,33,742.9300000000001,1,3,0,1,One-Time Shoppers
12375.0,10,2,457.5,26.91176470588235,14,457.5,88,1,0,2,Regular Loyalists
12377.0,314,2,1628.12,21.144415584415583,72,1628.12,40,1,0,2,Regular Loyalists
12378.0,129,1,4008.62,18.30420091324201,219,4008.62,1,1,-1,1,Regular Loyalists
12379.0,81,2,852.24,21.306,39,852.24,89,1,0,2,Regular Loyalists
12380.0,21,4,2724.81,26.200096153846154,77,2724.81,165,2,0,2,Premium Bulk Buyers
12381.0,4,5,1845.31,21.21045977011494,70,1845.31,116,2,0,0,Premium Bulk Buyers
12383.0,184,5,1850.56,18.69252525252525,84,1850.56,168,1,0,2,Regular Loyalists
12384.0,28,2,585.27,21.676666666666666,26,585.27,93,1,0,2,Regular Loyalists
12386.0,337,2,401.9,40.19,10,401.9,30,3,0,2,One-Time Shoppers
12388.0,15,6,2780.66,27.8066,57,2780.66,312,2,0,0,Premium Bulk Buyers
12390.0,79,1,549.84,17.1825,32,549.84,1,3,0,1,One-Time Shoppers
12391.0,21,1,460.89,4.6089,92,460.89,1,3,0,1,One-Time Shoppers
12393.0,71,4,1582.6000000000001,24.728125000000002,47,1582.6000000000001,261,1,0,2,Regular Loyalists
12394.0,63,2,1272.48,47.12888888888889,26,1272.48,154,1,0,2,Regular Loyalists
12395.0,18,12,3018.63,19.350192307692307,91,3018.63,352,2,0,0,Premium Bulk Buyers
12397.0,35,2,2409.9,19.126190476190477,110,2409.9,100,1,0,2,Regular Loyalists
12398.0,45,1,1635.6599999999999,19.24305882352941,85,1635.6599999999999,1,1,0,1,Regular Loyalists
12399.0,118,4,1108.65,18.790677966101697,47,1108.65,143,1,0,2,Regular Loyalists
12401.0,302,1,84.3,16.86,5,84.3,1,3,0,1,One-Time Shoppers
12402.0,322,1,225.6,20.509090909090908,11,225.6,1,3,0,1,One-Time Shoppers
12403.0,49,1,427.7,85.53999999999999,5,427.7,1,0,0,3,Occasional Buyers
12405.0,148,1,1710.39,31.67388888888889,54,1710.39,1,3,0,3,One-Time Shoppers
12406.0,21,2,3415.3,32.52666666666667,92,3415.3,162,1,0,2,Regular Loyalists
12407.0,49,5,1708.1200000000001,22.183376623376624,57,1708.1200000000001,215,1,0,2,Regular Loyalists
12408.0,32,5,2888.55,27.51,81,2888.55,228,2,0,2,Premium Bulk Buyers
12409.0,78,3,11072.67,101.58412844036697,91,11072.67,104,2,-1,0,Premium Bulk Buyers
12410.0,308,2,693.3299999999999,26.666538461538458,26,693.3299999999999,1,3,0,1,One-Time Shoppers
12412.0,74,3,1226.88,20.112786885245903,43,1226.88,95,1,0,2,Regular Loyalists
12413.0,66,3,758.1,19.95,29,758.1,271,1,0,2,Regular Loyalists
12414.0,216,3,562.41,31.244999999999997,16,562.41,94,1,0,2,Regular Loyalists
12415.0,23,21,124914.53,174.95032212885152,444,124914.53,314,2,-1,0,Premium Bulk Buyers
12417.0,2,9,3649.1,19.005729166666665,158,3649.1,355,2,0,0,Premium Bulk Buyers
12418.0,112,1,668.58,19.664117647058823,34,668.58,1,3,0,1,One-Time Shoppers
12420.0,63,1,600.39,20.70310344827586,29,600.39,1,3,0,1,One-Time Shoppers
12421.0,15,4,807.04,17.93422222222222,32,807.04,304,1,0,2,Regular Loyalists
12422.0,95,3,803.5600000000001,20.604102564102565,39,803.5600000000001,230,1,0,2,Regular Loyalists
12423.0,0,8,1859.31,14.87448,97,1859.31,353,2,0,0,Premium Bulk Buyers
12424.0,162,2,1760.96,58.69866666666667,30,1760.96,1,0,0,3,Occasional Buyers
12425.0,77,1,777.2,21.58888888888889,36,777.2,1,3,0,1,One-Time Shoppers
12426.0,194,1,582.73,19.424333333333333,30,582.73,1,3,0,1,One-Time Shoppers
12427.0,21,3,825.8,26.638709677419353,26,825.8,350,1,0,2,Regular Loyalists
12428.0,25,9,7956.46,27.062789115646257,258,7956.46,258,2,0,0,Premium Bulk Buyers
12429.0,8,4,3750.4,38.66391752577319,82,3750.4,357,2,0,0,Premium Bulk Buyers
12430.0,42,1,256.4,23.30909090909091,11,256.4,1,3,0,1,One-Time Shoppers
12431.0,35,15,6487.45,27.606170212765957,163,6487.45,339,2,0,0,Premium Bulk Buyers
12432.0,42,5,5059.32,46.845555555555556,107,5059.32,130,2,0,2,Premium Bulk Buyers
12433.0,0,7,13375.87,31.847309523809525,219,13375.87,373,2,-1,0,Premium Bulk Buyers
12434.0,84,2,806.14,16.122799999999998,46,806.14,176,1,0,2,Regular Loyalists
12435.0,79,2,7829.89,217.49694444444447,31,7829.89,189,0,-1,0,Occasional Buyers
12436.0,99,1,509.01,31.813125,16,509.01,1,3,0,3,One-Time Shoppers
12437.0,1,18,4951.41,24.88145728643216,118,4951.41,330,2,0,0,Premium Bulk Buyers
12438.0,13,2,2906.85,29.66173469387755,84,2906.85,126,1,0,2,Regular Loyalists
12441.0,366,1,173.55,15.77727272727273,11,173.55,1,3,0,1,One-Time Shoppers
12442.0,2,1,172.06,14.338333333333333,12,172.06,1,3,0,1,One-Time Shoppers
12444.0,20,5,5005.46,28.440113636363638,138,5005.46,150,2,0,0,Premium Bulk Buyers
12445.0,21,1,133.4,33.35,4,133.4,1,3,0,1,One-Time Shoppers
12446.0,57,1,1002.3100000000001,17.584385964912283,57,1002.3100000000001,1,3,0,1,One-Time Shoppers
12447.0,242,1,476.49,18.326538461538462,26,476.49,1,3,0,1,One-Time Shoppers
12448.0,43,1,449.45,20.429545454545455,22,449.45,1,3,0,1,One-Time Shoppers
12449.0,21,4,4067.29,21.294712041884818,118,4067.29,165,2,0,0,Premium Bulk Buyers
12450.0,155,2,197.88,24.735,7,197.88,18,3,0,2,One-Time Shoppers
12451.0,10,5,9035.52,25.524067796610172,265,9035.52,314,2,0,0,Premium Bulk Buyers
12452.0,16,2,430.57,19.571363636363635,21,430.57,1,3,0,1,One-Time Shoppers
12453.0,133,1,707.09,16.443953488372095,43,707.09,1,3,0,1,One-Time Shoppers
12454.0,55,1,3528.34,235.22266666666667,15,3528.34,1,0,-1,3,Occasional Buyers
12455.0,72,6,2466.86,27.409555555555556,85,2466.86,224,2,0,2,Premium Bulk Buyers
12456.0,43,3,3181.04,25.44832,105,3181.04,211,1,0,2,Regular Loyalists
12457.0,65,7,2363.23,38.11661290322581,53,2363.23,173,2,0,0,Premium Bulk Buyers
12458.0,70,2,947.4,24.931578947368422,35,947.4,214,1,0,2,Regular Loyalists
12461.0,93,2,826.88,23.62514285714286,35,826.88,61,1,0,2,Regular Loyalists
12462.0,18,2,1189.59,19.186935483870965,51,1189.59,285,1,0,2,Regular Loyalists
12463.0,52,4,1344.78,16.202168674698793,65,1344.78,189,1,0,2,Regular Loyalists
12464.0,9,8,1212.05,41.79482758620689,6,1212.05,300,1,-1,0,Regular Loyalists
12465.0,16,2,742.1899999999999,15.79127659574468,46,742.1899999999999,153,1,0,2,Regular Loyalists
12468.0,187,2,729.5400000000001,19.19842105263158,36,729.5400000000001,129,1,0,2,Regular Loyalists
12471.0,1,30,19824.05,43.09576086956522,150,19824.05,363,2,0,0,Premium Bulk Buyers
12472.0,31,7,6572.11,19.386755162241887,219,6572.11,337,2,0,0,Premium Bulk Buyers
12473.0,28,5,3938.5499999999997,23.443749999999998,140,3938.5499999999997,163,2,0,0,Premium Bulk Buyers
12474.0,16,18,7375.79,17.395731132075472,253,7375.79,313,2,0,0,Premium Bulk Buyers
12475.0,53,1,723.38,20.093888888888888,36,723.38,1,3,0,1,One-Time Shoppers
12476.0,15,11,6816.42,29.255021459227468,177,6816.42,346,2,0,0,Premium Bulk Buyers
12477.0,22,6,13219.74,44.065799999999996,191,13219.74,279,2,0,0,Premium Bulk Buyers
12478.0,3,1,680.99,18.91638888888889,36,680.99,1,3,0,1,One-Time Shoppers
12479.0,10,1,527.2,17.006451612903227,31,527.2,1,3,0,1,One-Time Shoppers
12480.0,27,4,3281.63,21.309285714285714,129,3281.63,308,2,0,0,Premium Bulk Buyers
12481.0,22,10,5596.32,25.789493087557602,150,5596.32,343,2,0,0,Premium Bulk Buyers
12483.0,16,8,2484.98,33.133066666666664,46,2484.98,323,2,0,0,Premium Bulk Buyers
12484.0,32,6,4541.72,13.126358381502891,256,4541.72,304,2,0,0,Premium Bulk Buyers
12488.0,9,3,1298.66,23.612000000000002,46,1298.66,66,1,0,2,Regular Loyalists
12489.0,335,1,334.93,22.328666666666667,15,334.93,1,3,0,1,One-Time Shoppers
12490.0,4,10,5417.93,22.114,131,5417.93,325,2,0,0,Premium Bulk Buyers
12491.0,38,1,460.40000000000003,17.70769230769231,25,460.40000000000003,1,3,0,1,One-Time Shoppers
12492.0,62,2,263.21000000000004,13.160500000000003,19,263.21000000000004,43,3,0,2,One-Time Shoppers
12493.0,165,2,433.74,19.715454545454545,20,433.74,32,3,0,2,One-Time Shoppers
12494.0,15,7,1246.1000000000001,16.183116883116885,63,1246.1000000000001,350,1,0,2,Regular Loyalists
12497.0,81,1,1043.1,74.50714285714285,14,1043.1,1,0,0,3,Occasional Buyers
12498.0,20,3,403.70000000000005,17.55217391304348,21,403.70000000000005,37,1,0,2,Regular Loyalists
12500.0,22,11,4257.82,69.80032786885245,34,4257.82,311,2,0,0,Premium Bulk Buyers
12501.0,336,1,2169.39,14.559664429530201,149,2169.39,1,1,-1,1,Regular Loyalists
12502.0,95,5,3723.87,25.332448979591835,102,3723.87,215,2,0,2,Premium Bulk Buyers
12504.0,17,2,482.04999999999995,53.5611111111111,6,482.04999999999995,13,0,-1,3,Occasional Buyers
12506.0,232,1,73.5,3.1956521739130435,23,73.5,1,3,0,1,One-Time Shoppers
12507.0,133,3,1304.81,62.13380952380952,19,1304.81,165,0,0,2,Occasional Buyers
12508.0,25,2,398.27,5.772028985507246,57,398.27,3,3,0,1,One-Time Shoppers
12509.0,283,1,176.5,25.214285714285715,7,176.5,1,3,0,1,One-Time Shoppers
12510.0,142,2,982.5699999999999,29.774848484848484,29,982.5699999999999,183,1,0,2,Regular Loyalists
12512.0,65,2,138.03,4.059705882352941,31,138.03,1,3,0,1,One-Time Shoppers
12513.0,112,1,612.29,17.494,35,612.29,1,3,0,1,One-Time Shoppers
12514.0,266,1,1017.68,19.954509803921567,51,1017.68,1,3,0,1,One-Time Shoppers
12515.0,352,1,383.7,23.98125,16,383.7,1,3,0,1,One-Time Shoppers
12516.0,77,2,1312.06,50.46384615384615,20,1312.06,103,1,0,2,Regular Loyalists
12517.0,27,5,2502.84,8.812816901408452,232,2502.84,162,2,0,0,Premium Bulk Buyers
12518.0,0,5,2056.89,16.58782258064516,84,2056.89,110,2,0,2,Premium Bulk Buyers
12519.0,63,1,340.84,18.935555555555553,17,340.84,1,3,0,1,One-Time Shoppers
12520.0,78,5,2634.26,17.330657894736845,121,2634.26,195,1,0,2,Regular Loyalists
12521.0,142,1,599.68,15.781052631578946,38,599.68,1,3,0,1,One-Time Shoppers
12522.0,38,2,192.72,16.06,11,192.72,13,3,0,2,One-Time Shoppers
12523.0,18,11,1789.77,16.884622641509434,84,1789.77,313,2,0,0,Premium Bulk Buyers
12524.0,8,8,4485.72,31.150833333333335,113,4485.72,325,2,0,0,Premium Bulk Buyers
12526.0,0,3,1316.66,18.54450704225352,64,1316.66,94,2,0,2,Premium Bulk Buyers
12527.0,81,3,348.71000000000004,19.37277777777778,18,348.71000000000004,244,1,0,2,Regular Loyalists
12528.0,8,6,1933.48,21.01608695652174,50,1933.48,304,2,0,0,Premium Bulk Buyers
12530.0,59,4,1662.28,25.186060606060607,51,1662.28,278,1,0,2,Regular Loyalists
12531.0,14,1,125.22,7.365882352941177,17,125.22,1,3,0,1,One-Time Shoppers
12532.0,29,1,349.83000000000004,21.864375000000003,16,349.83000000000004,1,3,0,1,One-Time Shoppers
12534.0,130,1,1089.18,17.28857142857143,63,1089.18,1,3,0,1,One-Time Shoppers
